515	153	196	201	17130	271062	25634	472322
516	49	276	157	17176	271627	17269	273505
517	112	335	276	17195	271865	51618	1159501
518	203	229	328	17219	272408	29579	564798
519	83	188	127	17233	272789	26523	495142
520	88	488	214	17237	272841	35595	703174
521	37	234	161	17253	273123	17766	283480
522	370	516	410	17269	273505	19763	326008
523	207	422	174	17285	273868	20418	340675
524	40	184	129	17352	275667	21205	358988
525	153	316	877	17368	275947	45241	962069
526	31	84	88	17430	277774	25612	471807
527	37	70	53	17565	280558	33467	648737
528	16	51	40	17587	280860	20292	336984
529	256	392	256	17657	281953	24051	431144
530	87	195	341	17687	282228	18140	289577
531	87	121	306	17708	282519	23744	423627
532	33	284	37	17763	283450	30557	585492
533	265	521	292	17766	283480	29306	555544
534	126	281	300	17840	284485	26072	483003
535	244	427	546	17847	284622	74807	1886066
536	40	440	120	17905	285814	34594	679290
537	211	469	311	17971	287022	35537	701223
538	49	111	94	18078	288673	28702	536414
539	177	400	254	18103	289032	82371	2159239
540	150	179	585	18126	289260	473186	22363876
541	86	530	443	18140	289577	18946	302255
542	92	355	104	18259	291941	62150	1485893
543	438	508	780	18298	292517	18897	300950
544	210	263	151	18336	293703	23978	429495
545	123	231	231	18359	294156	25733	475316
546	22	216	117	18563	297707	56845	1325180
547	32	512	79	18610	298125	23212	407752
548	86	293	187	18691	298719	20625	346108
549	77	304	219	18715	298880	35950	713286
550	253	324	461	18718	298898	390975	17331397
551	10	18	27	18856	300592	502124	24167729
552	473	543	887	18897	300950	29361	557071
553	339	541	687	18946	302255	43118	903224
554	434	451	437	18969	303033	71384	1760784
555	79	209	117	18978	303404	265462	10220249
556	37	469	214	18989	303674	20979	352549
557	336	399	374	19056	305981	38337	769026
558	324	503	872	19058	306029	24245	437455
559	114	197	442	19172	310189	838525	48452079
560	110	196	169	19221	311797	55450	1283745
561	93	347	204	19246	312531	56827	1324765
562	91	267	108	19302	314120	63291	1518972
563	166	500	662	19321	314577	25281	465082
564	85	432	390	19389	316599	66047	1590031
565	149	171	239	19429	317811	85017	2246452
566	173	186	539	19509	319658	21629	367225
567	200	451	328	19517	319905	234090	8637725
568	136	187	159	19544	320619	21388	363695
569	408	494	952	19573	321299	538146	26435326
570	381	522	620	19763	326008	55071	1269685
571	203	472	172	19776	326326	103466	2924182
572	230	395	715	19804	327054	28947	543084
573	314	335	756	19908	330181	32019	611529
574	350	433	492	20115	333427	24531	445132
575	90	352	402	20117	333435	22597	394469
576	211	452	356	20123	333543	32085	613296
577	50	319	89	20193	335003	63779	1532319
578	248	489	294	20206	335234	39194	790535
579	381	528	250	20292	336984	34632	680028
580	326	480	1015	20323	337423	26175	485999
581	286	523	231	20418	340675	20996	352879
582	314	414	714	20453	341653	48747	1072592
583	321	428	355	20488	342497	167728	5480957
584	141	417	276	20515	343262	28957	543457
585	352	548	536	20625	346108	49908	1105890
586	228	449	364	20771	348578	21096	356054
587	53	375	206	20806	349146	71714	1773833
588	76	148	203	20821	349427	39883	811165
589	186	415	772	20931	351279	42634	886982
590	114	556	263	20979	352549	36265	721670
591	277	581	404	20996	352879	56969	1329508
592	144	586	475	21096	356054	89405	2414660
593	4	284	15	21145	357203	124133	3739803
594	163	360	494	21149	357258	27991	522739
595	93	277	199	21176	358006	79658	2053932
596	393	524	383	21205	358988	354075	15143320
597	367	436	521	21231	359793	106871	3090560
598	233	568	279	21388	363695	95872	2644071
599	62	281	231	21580	366756	25036	459129
600	90	277	226	21610	366999	114818	3345758
601	516	566	696	21629	367225	40931	835877
602	84	278	150	21636	367299	53738	1225136
603	219	291	249	21660	367857	45722	978853
604	263	439	339	21668	368147	31088	595735
605	226	351	270	21695	368997	156815	5039546
606	83	206	402	21734	370099	77161	1969045
607	367	432	641	21819	372803	46117	990189
608	322	424	1224	21903	374426	118256	3495190
609	137	568	425	21969	376783	40537	825534
610	113	254	205	22067	379653	66929	1613824
611	8	504	602	22099	380466	36132	717510
612	56	509	704	22144	381929	23216	407878
613	256	272	190	22304	387060	36516	728771
614	437	477	368	22342	387945	76784	1952343
615	285	471	133	22367	388450	36129	717489
616	136	500	614	22418	389570	35181	690915
617	433	448	667	22500	391733	50059	1110188
618	8	331	719	22562	393346	47075	1022912
619	15	575	411	22597	394469	24960	456538
620	16	512	70	22675	396489	24739	450977
621	157	268	238	22693	396776	30694	587583
622	6	176	243	22695	396794	38103	764171
623	297	354	526	22833	399495	37448	748976
624	265	318	212	22872	400389	27961	522210
625	231	422	291	22916	401181	35537	701223
626	363	407	402	22955	401925	41353	848202
627	0	324	186	23115	405073	50261	1117553
628	104	186	245	23129	405263	58052	1366421
629	184	395	770	23136	405305	27502	511762
630	60	305	371	23144	405472	688257	36729254
631	326	361	348	23151	405675	23326	412038
632	28	547	104	23212	407752	54070	1233497
633	470	612	1010	23216	407878	1255103	82256921
634	164	631	446	23326	412038	52792	1200498
635	76	368	459	23424	414704	36075	716107
636	513	541	1292	23561	417942	59157	1399783
637	374	504	748	23640	420313	37665	753420
638	293	302	199	23736	423397	49411	1094420
639	235	531	383	23744	423627	31624	605607
640	353	429	612	23857	426167	28590	533587
641	139	394	296	23862	426447	34270	669833
642	217	544	198	23978	429495	27312	507353
643	174	248	381	23985	429564	54428	1246042
644	464	498	658	24051	431144	35275	693557
645	464	529	433	24051	431144	82982	2177725
646	498	529	737	24051	431144	33802	656487
647	73	558	888	24245	437455	67732	1644225
648	101	543	860	24396	441448	42617	886394
649	175	209	339	24445	442539	40810	832541
650	39	513	869	24517	444695	45884	982043
651	464	574	669	24531	445132	66954	1614439
652	32	269	333	24703	450247	62150	1485893
653	478	620	279	24739	450977	44089	929287
654	124	425	525	24745	451009	39450	798339
655	303	309	634	24763	451395	77978	1996664
656	242	548	370	24770	451500	35511	700492
657	86	366	335	24910	455611	33085	641024
658	78	116	278	24960	456538	71316	1759434
659	78	619	469	24960	456538	28232	526648
660	116	619	631	24960	456538	53738	1225136
661	91	469	241	25024	458768	71782	1776502
662	204	599	321	25036	459129	31493	603943
663	64	339	317	25039	459191	32019	611529
664	57	244	241	25113	461308	32789	635506
665	126	563	778	25281	465082	165596	5395039
666	150	337	747	25480	469140	44089	929287
667	541	544	594	25506	469801	32088	613362
668	186	526	315	25612	471807	193862	6678940
669	303	515	326	25634	472322	27570	514042
670	366	513	1082	25642	472441	80881	2096456
671	164	545	329	25733	475316	34157	666610
672	192	277	268	25798	476617	32259	619828
673	246	470	340	25805	476738	147702	4670070
674	226	433	468	25851	477698	43321	908216
675	395	492	964	25910	478729	53067	1210052
676	277	515	374	25922	479003	32389	623542
677	173	286	369	26012	481741	46913	1015263
678	248	534	392	26072	483003	31019	594486
679	187	563	754	26082	483259	76709	1949809
680	260	423	223	26160	485395	34117	665115
681	419	580	1079	26175	485999	156326	5018874
682	35	55	39	26379	492728	51105	1143541
683	349	374	328	26468	494375	35094	688971
684	309	348	802	26518	495031	171475	5637898
685	174	519	416	26523	495142	86313	2290077
686	232	477	203	26609	497383	35133	690051
687	268	473	182	26775	499718	38184	765792
688	274	459	270	26802	500088	33879	659105
689	199	303	376	26879	500932	32511	627160
690	340	376	284	27028	502539	28781	538294
