208 324 215 16250 285242 107681 3838198
47 185 115 16501 290783 28396 607976
34 77 51 16545 291760 38409 937168
127 170 130 16571 291988 234408 11006568
90 107 42 16664 293491 71387 2205700
97 197 178 16675 293631 28303 605937
209 339 434 16729 294358 123114 4575184
201 319 278 16735 294485 26642 553005
53 287 54 16842 298201 59087 1733441
199 238 508 16897 299498 115009 4181941
132 248 95 16978 302483 134299 5110304
222 230 255 17123 306205 22101 434307
136 364 199 17131 306353 26242 537597
13 293 122 17161 307415 68386 2087480
89 331 145 17240 309999 20507 397642
279 304 386 17267 310691 30409 667772
281 306 128 17290 311302 19223 360661
147 233 126 17340 313352 66564 2004781
109 356 154 17534 319335 17676 322428
221 260 230 17586 320322 19522 368473
46 110 107 17642 321685 54834 1573901
18 383 165 17676 322428 117319 4289476
152 214 107 17692 322917 27239 575006
299 361 285 17795 325241 3466186 406309490
120 195 112 17928 328776 316509 16317999
33 289 52 18032 330768 62608 1851624
218 335 330 18045 330922 19488 367169
44 320 361 18096 332307 18239 336481
24 79 51 18220 335929 25216 514959
224 392 401 18239 336481 60122 1767290
169 360 257 18286 338423 159016 6474989
15 37 53 18500 345516 42633 1117477
19 330 184 18668 348801 276484 13700728
26 125 60 18684 349089 24933 504678
95 98 92 18846 352310 138419 5341116
124 356 193 18854 352529 51208 1452747
174 302 277 18897 353447 26739 556874
108 187 211 18957 355070 24987 506274
137 236 160 19039 356866 109875 3953806
214 342 119 19144 358927 24421 490706
194 267 197 19177 359629 60030 1763743
7 381 132 19223 360661 2410368 249950003
55 227 140 19285 362084 24153 483638
243 349 225 19443 366113 54911 1576595
198 391 390 19488 367169 97250 3297816
44 384 241 19522 368473 21552 420403
20 155 63 19525 368479 43829 1153680
6 199 137 19535 368860 36210 859211
212 361 212 19541 368909 33268 771695
98 141 135 19560 369959 35390 831988
129 263 201 19563 369986 35811 846803
3 101 39 19710 375743 35811 846803
20 392 365 19768 377618 30666 679245
50 113 116 19941 382639 38364 935410
255 344 395 19963 383221 23316 461159
113 237 210 20070 386486 27470 581144
227 294 314 20124 387939 394305 21953645
104 273 216 20223 390536 37134 889103
32 186 123 20375 394883 76449 2390861
2 37 49 20481 396964 26115 534485
99 379 177 20507 397642 34646 810996
243 325 282 20663 400449 20789 403285
332 343 273 20701 401057 52264 1484930
58 426 300 20789 403285 44476 1181269
300 341 252 20841 404563 410459 23038723
92 222 163 20973 408727 21536 419671
168 305 150 21158 413232 40890 1046653
154 261 165 21303 415863 115564 4213172
82 143 57 21378 416963 33417 777445
239 261 180 21383 417047 123032 4570364
76 325 217 21470 418337 272802 13476524
299 379 278 21487 418548 41942 1092250
129 237 197 21491 418580 34767 813690
299 311 180 21510 418973 100025 3421632
1 430 164 21536 419671 30792 684257
319 410 355 21552 420403 48705 1354223
89 151 139 21695 424977 31145 696479
42 176 94 21802 427649 24659 497755
